University,Country,Masterprogram,Deadline,Ranking,Duration (month),Status,Pre-Requisites,Fee,Start Date,Notes
Alliance Manchester Business School,UK,Management,"May 3, 2026","#96 FT Master in Management
#56 THE World University (University of Manchester)",12,Not started,"Bachelor degree with a minimum average of 5/6. 

English Requirements:
We also require you to meet our https://www.alliancembs.manchester.ac.uk/study/masters/masters-entry-requirements/.

IELTS: 7.0 overall and no other element below 6.5
TOEFL: 100 overall with a minimum score of 22 in other elements.
Cambridge Proficiency Minimum grade B.
Cambridge Advanced Minimum grade B.","£33,100",,"https://www.alliancembs.manchester.ac.uk/study/masters/msc-management/

Round 1: 7 December 2025
Round 2: 1 March 2026
Round 3: 3 May 2026
Round 4: 5 July 2026"
Edinburgh Business School,UK,Entrepreneurship and Innovation,"April 22, 2026","#100 FT Master in Management
#29 THE World University (University of Edinburgh)",12,Not started,"2.1 degree

https://www.business-school.ed.ac.uk/msc/entrepreneurship-innovation/entry-requirements

English Requirements:
TOEFL: Total 100 with at least 20 in each component","£27,100",,"https://www.business-school.ed.ac.uk/msc/entrepreneurship-innovation

Round 2: 10 December 2025
Round 3: 11 February 2026
Round 4: 22 April 2026
Round 5: 10 June 2026"
Imperial College,UK,Business Analytics & AI,"May 6, 2026","#8 THE World University Ranking
#29 FT European Business School",12,Not started,"Bachelor overall mark 

English Requirements:
TOEFL iBT: We accept an overall score of 5.0 (95+) with minimum scores of 5.0 in all elements

24-26 Reading
22-25 Listening
25-26 Speaking
24-26 Writing

First or 2:1 in a quantitative subject such as Mathematics, Statistics, Computer science, Engineering, Physics or a quantitative economics degree.","£47,000","September 1, 2026","https://www.imperial.ac.uk/business-school/masters/business-analytics/

Round 1: 26 November 2025
Round 2: 4 March 2026
Round 3: 6 May 2026
Round 4: 17 June 2026"
Imperial College,UK,Financial Technology,"May 5, 2026","#8 THE World University
#29 FT European Business School",12,Not started,,"£51,000",,"https://www.imperial.ac.uk/business-school/masters/financial-technology/

Round 1: 26 November 2025
Round 2: 4 March 2026
Round 3: 6 May 2026
Round 4: 17 June 2026"
Nanyang Technological University (NTU),SG,Technopreneurship and Innovation,"January 29, 2026",#31 THE World University,12,Not interested,"A good bachelor's degree (or equivalent) in any discipline of study from a recognised university or tertiary institution

English Requirements:
TOEFL/IELTS (Score 92) is required for applicants whose Bachelor programme is not conducted in English. Test dates must be within two years or less from the date of your application.","S$56,680","June 29, 2026","Application starts at 4 November 2025

https://www.ntu.edu.sg/ntupreneur/programmes/postgraduate-programmes/msctip-en

https://www.ntu.edu.sg/ntupreneur/programmes/postgraduate-programmes/msctip-en/admission-requirement"
National University Singapore (NUS),SG,Business Analytics,"January 29, 2026",#17 THE World University,12,Not interested,"A good Bachelors' degree, preferably from Business, Computing, Economics, Engineering, Mathematics, Science or Statistics, with a good honours classification; or at least 2 years' relevant work experience

(Highly Recommended) A good quantitative score in GRE/GMAT* → But not required

Strong Mathematics foundation","S$85,000","July 30, 2026",https://msba.nus.edu.sg/programme/
National University Singapore (NUS),SG,Management of Technology and Innovation,"February 26, 2026",#17 THE World University,12,Not interested,"A Bachelor's degree with 2nd class honours or its equivalent in Science, Technology, Engineering or Mathematics (STEM) or business discipline with relevant technology experience from an institution of recognised standing

English Requirements:
TOEFL > 85
IELTS > 6.0 

Work experience:
At least 1-2 years' preferred.

GMAT or GRE score is highly encouraged (but not required) to be attached with your application to receive priority consideration.","S$55,590","July 30, 2026",https://cde.nus.edu.sg/isem/masters-of-science-management-of-technology-and-innovation-programme/
Kings College London,UK,Management & Technological Change MSc,"July 25, 2026",#38 THE World University Ranking,12,Not started,"2.1 degree at Undergraduate (mindestens 5.0 Schnitt)

If you have a lower degree classification, or a degree in an unrelated subject, your application may be considered if you can demonstrate significant relevant work experience, or offer a related graduate qualification (such as a Masters or PGDip).

English Requirements:
TOEFL → 100 overall with a minimum of 25 in writing and 23 in each of the other skills
https://www.kcl.ac.uk/study/postgraduate-taught/how-to-apply/entry-requirements/english-language-requirements#section-3","£38,300","September 1, 2026","https://www.kcl.ac.uk/study/postgraduate-taught/courses/management-technological-change

Our first application deadline is on 9 March 2026 (23:59 UK time). The final application deadlines for this programme are:
• Overseas (international) fee status: 25 July 2026 (23:59 UK time)

After the first application deadline in March:
• if the programme is not yet full, we will continue to accept applications until all available places are filled up to the final application deadlines above
• if the programme becomes full before the final application deadlines stated above, we will close the programme to further applications"
HSG,CH,Business Innovation,"March 30, 2026",#9 FT Business School (EU),36,Not started,"- mindestens teilweise fachähnlicher Bachelor-Abschluss einer Schweizer Universität

- betriebswirtschaftlicher (fachähnlicher) Bachelor-Abschluss einer Schweizer Fachhochschule mit einem Mindestnotenschnitt von 5.00 im Abschlusszeugnis und maximal 20 ECTS Credits von 180 ECTS Credits an Praktikumsleistungen.",CHF 1429 pro Semester,"September 30, 2026","https://www.unisg.ch/de/studium/programme/master/business-innovation-mbi/

Teilweise fachähnlicher universitärer Bachelor-Abschluss: 
60 ECTS Credits in zwei der drei Kernbereiche Betriebswirtschaftslehre, Volkswirtschaftslehre und Recht, davon mindestens 30 ECTS Credits in Betriebswirtschaftslehre und mindestens 15 ECTS Credits in Volkswirtschaftslehre oder Recht, zusätzlich mindestens 6 ECTS Credits in Mathematik/Statistik 

Für die Prüfung der (teilweisen) Fachähnlichkeit werden ausschliesslich curriculare Credits eines abgeschlossenen Studiums berücksichtigt.
Überschüssige Leistungen (fakultative Leistungen) werden nicht berücksichtigt. Als Vergleichsbasis dienen die Pflichtleistungen des entsprechenden HSG Bachelor-Studiengangs."
Nanyang Technological University (NTU),SG,Management,"March 31, 2026",#31 THE World University,12,Not started,"https://www.ntu.edu.sg/business/admissions/graduate-studies/master-in-management/admissions

A good bachelor's degree from any discipline

GMAT or GRE score is optional

English Requirements:
TOEFL score >100 iBT; IELTS score > 6.5, if English was not the medium of instruction at the undergraduate level

Work experience is optional","S$67,580","July 1, 2026","https://www.ntu.edu.sg/business/admissions/graduate-studies/master-in-management/home

Round 1: 1 November 2025
Round 2: 31 January 2026
Round 3: 31 March 2026"
